"Metric","Section","metric_key","TC-01","TC-02","TC-03","TC-04","TC-05","TC-06","TC-07","TC-08","TC-09","TC-10","TC-11","TC-12","TC-13","TC-14","TC-15","TC-16","WB_TC-01","WB_TC-02","WB_TC-03","WB_TC-04","WB_TC-05","WB_TC-06","WB_TC-07","WB_TC-08","WB_TC-09","WB_TC-10","WB_TC-11","WB_TC-12","WB_TC-13","WB_TC-14","WB_TC-15","WB_TC-16"
"Direct Capital Cost","0. Output Summary","SUM_direct_capital","149,029","390,941","3,600,472","88,446","239,277","709,259","30,984","101,553","72,837","606,179","2,309,750","197,601","80,793","940,274","606,179","2,897,865","","","","","","","","","","","","","","","",""
"Add-on Cost","0. Output Summary","SUM_addon_cost","20,167","20,694","101,792","20,008","20,241","19,774","19,419","19,540","20,008","79,601","119,677","20,172","20,008","81,473","79,601","103,511","","","","","","","","","","","","","","","",""
"Indirect Capital Cost","0. Output Summary","SUM_indirect_capital","71,208","183,795","1,919,407","44,027","115,383","318,657","14,249","46,483","37,028","351,415","1,294,719","95,825","40,595","536,191","351,415","1,581,037","","","","","","","","","","","","","","","",""
"Total Capital Cost","0. Output Summary","SUM_total_capital","240,404","595,431","5,621,670","152,481","374,902","1,047,690","64,651","167,576","129,873","1,037,195","3,724,146","313,598","141,396","1,557,938","1,037,195","4,582,413","","","","","","","","","","","","","","","",""
"Annualized Capital Cost (per year over 20 years at 7%)","0. Output Summary","SUM_ann_capital","22,692","56,204","530,646","14,393","35,388","98,895","6,103","15,818","12,259","97,904","351,533","29,601","13,347","147,058","97,904","432,547","","","","","","","","","","","","","","","",""
"Annual O&M Cost (per year)","0. Output Summary","SUM_annual_om","11,257","39,191","355,643","9,742","25,518","45,262","6,586","26,140","14,700","106,536","675,089","44,495","14,704","130,093","106,536","421,564","","","","","","","","","","","","","","","",""
"Total Annualized Cost (per year)","0. Output Summary","SUM_total_annualized","33,949","95,395","886,289","24,135","60,906","144,157","12,689","41,958","26,959","204,440","1,026,622","74,096","28,051","277,151","204,440","854,111","","","","","","","","","","","","","","","",""
"Annualized cost per 1,000 gallons average flow","0. Output Summary","SUM_per_1000_gal","2.66","1.04","0.76","1.89","0.66","1.57","0.99","0.46","0.74","0.70","0.35","0.51","0.77","0.95","0.70","0.58","","","","","","","","","","","","","","","",""
"Annualized cost per household per year","0. Output Summary","SUM_per_household","291","114","83","207","73","172","109","50","82","77","38","56","85","104","77","64","","","","","","","","","","","","","","","",""
"Add-on flag (0/1)","1. Design Inputs","INP_add_on","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"1. # contactors (vessels / basins)","2. Contactors","WBS1_n_vessels","4","2","16","2","2","2","1","1","2","4","9","2","2","5","4","13","","","","","","","","","","","","","","","",""
"1. Volume per contactor (gal)","2. Contactors","WBS1_vol_per_vessel_gal","684","8,547","11,778","540","3,167","10,424","576","3,305","540","2,730","11,778","2,730","684","5,567","2,730","10,922","","","","","","","","","","","","","","","",""
"1. Unit cost per contactor ($)","2. Contactors","WBS1_unit_cost","14,169","82,883","94,927","11,071","54,454","194,551","11,837","55,446","11,071","51,144","94,927","51,144","14,169","69,136","51,144","91,943","","","","","","","","","","","","","","","",""
"1. CONTACTOR TOTAL ($)","2. Contactors","WBS1_total_cost","56,677","165,766","1,518,832","22,141","108,908","389,102","11,837","55,446","22,141","204,576","854,343","102,288","28,339","345,682","204,576","1,195,264","","","","","","","","","","","","","","","",""
"2.1 # backwash tanks","3. Tanks","WBS2_1_n_backwash_tanks","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","","","","","","","","","","","","","","","",""
"2.1 Backwash tank volume (gal)","3. Tanks","WBS2_1_vol_gal","0","0","17,180","0","0","0","0","0","0","3,980","17,180","0","0","8,510","3,980","15,930","","","","","","","","","","","","","","","",""
"2.1 Backwash tank cost ($)","3. Tanks","WBS2_1_cost","0","0","41,077","0","0","0","0","0","0","19,729","41,077","0","0","28,880","19,729","39,550","","","","","","","","","","","","","","","",""
"2.2 # residuals tanks","3. Tanks","WBS2_2_n_residuals_tanks","1","4","3","1","2","8","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"2.2 Residuals tank volume (gal)","3. Tanks","WBS2_2_vol_gal","2,309","6,232","11,451","2,309","4,618","7,208","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"2.2 Residuals tank cost ($)","3. Tanks","WBS2_2_cost","5,075","49,949","69,204","5,075","18,916","114,732","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"2. TANK TOTAL ($)","3. Tanks","WBS2_total_cost","5,075","49,949","110,281","5,075","18,916","114,732","0","0","0","19,729","41,077","0","0","28,880","19,729","39,550","","","","","","","","","","","","","","","",""
"3.1 Process pipe length (lf)","4. Piping","WBS3_1_proc_len_lf","20","40","220","20","40","20","20","20","20","100","180","40","20","120","100","200","","","","","","","","","","","","","","","",""
"3.1 Process pipe diameter (in)","4. Piping","WBS3_1_proc_diam_in","2.5","6.0","8.0","2.5","6.0","6.0","3.0","6.0","2.5","4.0","8.0","4.0","2.5","4.0","4.0","6.0","","","","","","","","","","","","","","","",""
"3.1 Process piping cost ($)","4. Piping","WBS3_1_proc_cost","81","389","16,542","81","389","195","94","195","81","619","13,534","247","81","742","619","9,322","","","","","","","","","","","","","","","",""
"3.2 Backwash pipe length (lf)","4. Piping","WBS3_2_back_len_lf","25","50","275","25","50","25","25","25","25","125","225","50","25","150","125","250","","","","","","","","","","","","","","","",""
"3.2 Backwash pipe diameter (in)","4. Piping","WBS3_2_back_diam_in","3.0","8.0","10.0","3.0","6.0","2.0","3.0","6.0","3.0","6.0","10.0","6.0","3.0","8.0","6.0","10.0","","","","","","","","","","","","","","","",""
"3.2 Backwash piping cost ($)","4. Piping","WBS3_2_back_cost","118","703","5,266","118","486","85","118","243","118","1,216","4,308","486","118","2,108","1,216","4,787","","","","","","","","","","","","","","","",""
"3.3 Influent/treated pipe length (lf)","4. Piping","WBS3_3_io_len_lf","20","40","220","20","40","20","20","20","20","100","180","40","20","120","100","200","","","","","","","","","","","","","","","",""
"3.3 Influent/treated pipe diameter (in)","4. Piping","WBS3_3_io_diam_in","3.0","6.0","14.0","3.0","6.0","6.0","3.0","6.0","3.0","6.0","16.0","6.0","3.0","6.0","6.0","12.0","","","","","","","","","","","","","","","",""
"3.3 Influent/treated piping cost ($)","4. Piping","WBS3_3_io_cost","94","389","38,662","94","389","195","94","195","94","9,979","34,437","389","94","11,975","9,979","31,884","","","","","","","","","","","","","","","",""
"3.4.1 Residuals pipe length (lf)","4. Piping","WBS3_4_1_res_pipe_len_lf","50","60","150","50","60","50","50","50","50","90","130","60","50","100","90","140","","","","","","","","","","","","","","","",""
"3.4.1 Residuals pipe diameter (in)","4. Piping","WBS3_4_1_res_pipe_diam_in","1.0","1.0","2.5","1.0","1.0","1.0","3.0","6.0","3.0","6.0","10.0","6.0","3.0","8.0","6.0","10.0","","","","","","","","","","","","","","","",""
"3.4.1 Residuals piping cost ($)","4. Piping","WBS3_4_1_res_pipe_cost","116","140","606","116","140","116","235","486","235","876","2,489","584","235","1,405","876","2,681","","","","","","","","","","","","","","","",""
"3.4.2 Residuals excav. (cy)","4. Piping","WBS3_4_2_res_excav_cy","","","34.92","","","","","","","41.15","48.89","","","44.94","41.15","48.89","","","","","","","","","","","","","","","",""
"3.4.3 Residuals bedding (cy)","4. Piping","WBS3_4_3_res_bedding_cy","","","1.12","","","","","","","1.42","1.78","","","1.60","1.42","1.78","","","","","","","","","","","","","","","",""
"3.4.5 Residuals backfill (cy)","4. Piping","WBS3_4_5_res_backfill_cy","","","34.92","","","","","","","41.15","48.89","","","44.94","41.15","48.89","","","","","","","","","","","","","","","",""
"3.4.6 Residuals thrust blocks (cy)","4. Piping","WBS3_4_6_res_thrust_cy","","","0.34","","","","","","","1.78","6.23","","","3.58","1.78","6.23","","","","","","","","","","","","","","","",""
"3.x.2 Main pipe excav. (cy)","4. Piping","WBS3_excav_cy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.x.3 Main pipe bedding (cy)","4. Piping","WBS3_bedding_cy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.x.5 Main pipe backfill (cy)","4. Piping","WBS3_backfill_cy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.x.6 Main pipe thrust blocks (cy)","4. Piping","WBS3_thrust_cy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Piping installation cost ($)","4. Piping","WBS3_install_cost","1,071","2,142","11,782","1,071","2,142","1,071","1,071","1,071","1,071","5,355","9,640","2,142","1,071","6,426","5,355","10,711","","","","","","","","","","","","","","","",""
"4.1.1 Process MOVs (qty)","5. Valves","WBS4_1_1_proc_mov_qty","12","6","50","4","4","4","2","2","4","10","20","4","4","12","10","28","","","","","","","","","","","","","","","",""
"4.1.1 Process MOV cost ($)","5. Valves","WBS4_1_1_proc_mov_cost","11,329","10,710","128,437","3,776","7,140","7,140","2,068","3,570","3,776","12,404","51,375","4,962","3,776","14,885","12,404","49,981","","","","","","","","","","","","","","","",""
"4.1.2 Backwash MOVs (qty)","5. Valves","WBS4_1_2_back_mov_qty","9","5","35","5","5","5","3","3","5","11","21","5","5","13","11","29","","","","","","","","","","","","","","","",""
"4.1.2 Backwash MOV cost ($)","5. Valves","WBS4_1_2_back_mov_cost","9,306","12,844","129,379","5,170","8,925","4,310","3,102","5,355","5,170","19,635","77,627","8,925","5,170","33,394","19,635","107,200","","","","","","","","","","","","","","","",""
"4.1.3 Residuals MOVs (qty)","5. Valves","WBS4_1_3_res_mov_qty","3","6","5","3","4","10","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.1.3 Residuals MOV cost ($)","5. Valves","WBS4_1_3_res_mov_cost","2,156","4,311","4,721","2,156","2,874","7,186","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.2.1 Influent manual valves (qty)","5. Valves","WBS4_2_1_in_man_qty","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","",""
"4.2.1 Influent manual valve cost ($)","5. Valves","WBS4_2_1_in_man_cost","714","1,639","6,238","714","1,639","1,639","714","1,639","714","1,639","7,872","1,639","714","1,639","1,639","4,797","","","","","","","","","","","","","","","",""
"4.2.2 Process manual valves (qty)","5. Valves","WBS4_2_2_proc_man_qty","4","2","16","2","2","2","1","1","2","4","9","2","2","5","4","13","","","","","","","","","","","","","","","",""
"4.2.2 Process manual valve cost ($)","5. Valves","WBS4_2_2_proc_man_cost","1,206","1,639","19,984","603","1,639","1,639","357","820","603","1,948","11,241","974","603","2,436","1,948","10,655","","","","","","","","","","","","","","","",""
"4.2.3 Backwash manual valves (qty)","5. Valves","WBS4_2_3_back_man_qty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.2.3 Backwash manual valve cost ($)","5. Valves","WBS4_2_3_back_man_cost","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.2.4 Residuals manual valves (qty)","5. Valves","WBS4_2_4_res_man_qty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.2.4 Residuals manual valve cost ($)","5. Valves","WBS4_2_4_res_man_cost","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"4.3.1 Backwash check valves (qty)","5. Valves","WBS4_3_1_back_chv_qty","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"4.3.1 Backwash check valve cost ($)","5. Valves","WBS4_3_1_back_chv_cost","420","2,002","2,970","420","1,226","247","420","1,226","420","1,226","2,970","1,226","420","2,002","1,226","2,970","","","","","","","","","","","","","","","",""
"4.3.2 Residuals check valves (qty)","5. Valves","WBS4_3_2_res_chv_qty","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"4.3.2 Residuals check valve cost ($)","5. Valves","WBS4_3_2_res_chv_cost","242","242","655","242","242","242","420","1,226","420","1,226","2,970","1,226","420","2,002","1,226","2,970","","","","","","","","","","","","","","","",""
"4.3.5 Influent check valves (qty)","5. Valves","WBS4_3_5_in_chv_qty","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"4.3.5 Influent check valve cost ($)","5. Valves","WBS4_3_5_in_chv_cost","420","1,226","5,477","420","1,226","1,226","420","1,226","420","1,226","7,017","1,226","420","1,226","1,226","4,128","","","","","","","","","","","","","","","",""
"4. VALVE TOTAL ($)","5. Valves","WBS4_total_valve_cost","23,637","30,303","293,139","11,346","22,038","16,443","7,502","15,063","11,524","39,306","161,071","20,179","11,524","57,585","39,306","182,700","","","","","","","","","","","","","","","",""
"5.1 # booster pumps","6. Pumps","WBS5_1_n_booster","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","","","","","","","","","","","","","","","",""
"5.1 Booster pump rating (gpm)","6. Pumps","WBS5_1_booster_gpm","0","0","6,393","0","0","0","0","0","0","868","8,681","0","0","868","868","4,340","","","","","","","","","","","","","","","",""
"5.1 Booster pump cost ($)","6. Pumps","WBS5_1_booster_cost","0","0","71,385","0","0","0","0","0","0","16,444","82,156","0","0","16,444","16,444","55,747","","","","","","","","","","","","","","","",""
"5.2 # backwash pumps","6. Pumps","WBS5_2_n_backwash","0","0","2","0","0","0","0","0","0","2","2","0","0","2","2","2","","","","","","","","","","","","","","","",""
"5.2 Backwash pump rating (gpm)","6. Pumps","WBS5_2_backwash_gpm","0","0","2,148","0","0","0","0","0","0","498","2,148","0","0","1,064","498","1,991","","","","","","","","","","","","","","","",""
"5.2 Backwash pump cost ($)","6. Pumps","WBS5_2_backwash_cost","0","0","65,612","0","0","0","0","0","0","22,590","65,612","0","0","38,177","22,590","61,850","","","","","","","","","","","","","","","",""
"5.3 # residuals pumps","6. Pumps","WBS5_3_n_residuals","2","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"5.3 Residuals pump rating (gpm)","6. Pumps","WBS5_3_residuals_gpm","1","6","68","1","2","14","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"5.3 Residuals pump cost ($)","6. Pumps","WBS5_3_residuals_cost","8,221","8,370","10,200","8,204","8,255","8,610","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"5. PUMP TOTAL ($)","6. Pumps","WBS5_total_cost","8,221","8,370","147,196","8,204","8,255","8,610","0","0","0","39,034","147,768","0","0","54,620","39,034","117,597","","","","","","","","","","","","","","","",""
"6.1 Influent FM (qty)","7. Instrumentation","WBS6_1_fm_in_qty","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"6.1 Influent FM size (in)","7. Instrumentation","WBS6_1_fm_in_size_in","3.0","6.0","14.0","3.0","6.0","6.0","3.0","6.0","3.0","6.0","16.0","6.0","3.0","6.0","6.0","12.0","","","","","","","","","","","","","","","",""
"6.1 Influent FM cost ($)","7. Instrumentation","WBS6_1_fm_in_cost","3,110","4,373","6,056","3,110","4,373","4,373","0","0","3,110","4,373","6,093","4,373","3,110","4,373","4,373","5,866","","","","","","","","","","","","","","","",""
"6.2 Process FM (qty)","7. Instrumentation","WBS6_2_fm_proc_qty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6.2 Process FM cost ($)","7. Instrumentation","WBS6_2_fm_proc_cost","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6.3 Backwash FM (qty)","7. Instrumentation","WBS6_3_fm_back_qty","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"6.3 Backwash FM size (in)","7. Instrumentation","WBS6_3_fm_back_size_in","3.0","8.0","10.0","3.0","6.0","2.0","3.0","6.0","3.0","6.0","10.0","6.0","3.0","8.0","6.0","10.0","","","","","","","","","","","","","","","",""
"6.3 Backwash FM cost ($)","7. Instrumentation","WBS6_3_fm_back_cost","3,110","5,024","5,522","3,110","4,373","2,612","0","0","3,110","4,373","5,522","4,373","3,110","5,024","4,373","5,522","","","","","","","","","","","","","","","",""
"6.4 Residuals FM (qty)","7. Instrumentation","WBS6_4_fm_res_qty","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"6.4 Residuals FM size (in)","7. Instrumentation","WBS6_4_fm_res_size_in","1.0","1.0","2.5","1.0","1.0","1.0","3.0","6.0","3.0","6.0","10.0","6.0","3.0","8.0","6.0","10.0","","","","","","","","","","","","","","","",""
"6.4 Residuals FM cost ($)","7. Instrumentation","WBS6_4_fm_res_cost","2,075","2,075","2,865","2,075","2,075","2,075","3,110","4,373","3,110","4,373","5,522","4,373","3,110","5,024","4,373","5,522","","","","","","","","","","","","","","","",""
"6.12 Sampling ports (qty)","7. Instrumentation","WBS6_ports_qty","7","5","19","5","5","5","4","4","5","7","12","5","5","8","7","16","","","","","","","","","","","","","","","",""
"6.12 Sampling ports cost ($)","7. Instrumentation","WBS6_ports_cost","350","250","950","250","250","250","200","200","250","350","600","250","250","400","350","800","","","","","","","","","","","","","","","",""
"7.1.1 PLC rack (qty)","8. System Controls","WBS7_1_1_plc_rack_qty","2","1","3","1","1","1","0","0","1","2","2","1","1","2","2","3","","","","","","","","","","","","","","","",""
"7.1.1 PLC rack cost ($)","8. System Controls","WBS7_1_1_plc_rack_cost","711","356","1,067","356","356","356","0","0","356","711","711","356","356","711","711","1,067","","","","","","","","","","","","","","","",""
"7.1.2 PLC CPU (qty)","8. System Controls","WBS7_1_2_plc_cpu_qty","2","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","",""
"7.1.2 PLC CPU cost ($)","8. System Controls","WBS7_1_2_plc_cpu_cost","758","758","758","758","758","758","0","0","758","758","758","758","758","758","758","758","","","","","","","","","","","","","","","",""
"7.1.3 PLC DI module (qty)","8. System Controls","WBS7_1_3_plc_di_qty","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","",""
"7.1.3 PLC DI module cost ($)","8. System Controls","WBS7_1_3_plc_di_cost","383","383","765","383","383","383","383","383","383","383","383","383","383","383","383","765","","","","","","","","","","","","","","","",""
"7.1.4 PLC DO module (qty)","8. System Controls","WBS7_1_4_plc_do_qty","1","1","1","1","1","1","0","0","0","1","1","0","0","1","1","1","","","","","","","","","","","","","","","",""
"7.1.4 PLC DO module cost ($)","8. System Controls","WBS7_1_4_plc_do_cost","340","340","340","340","340","340","0","0","0","340","340","0","0","340","340","340","","","","","","","","","","","","","","","",""
"7.1.5 PLC combo analog (qty)","8. System Controls","WBS7_1_5_plc_analog_qty","4","3","15","2","2","2","1","1","2","5","8","2","2","5","5","11","","","","","","","","","","","","","","","",""
"7.1.5 PLC combo analog cost ($)","8. System Controls","WBS7_1_5_plc_analog_cost","2,229","1,672","8,360","1,115","1,115","1,115","557","557","1,115","2,787","4,459","1,115","1,115","2,787","2,787","6,131","","","","","","","","","","","","","","","",""
"7.1.6 PLC ethernet (qty)","8. System Controls","WBS7_1_6_plc_eth_qty","2","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","",""
"7.1.6 PLC ethernet cost ($)","8. System Controls","WBS7_1_6_plc_eth_cost","2,684","2,684","2,684","2,684","2,684","2,684","0","0","2,684","2,684","2,684","2,684","2,684","2,684","2,684","2,684","","","","","","","","","","","","","","","",""
"7.1.9 UPS (qty)","8. System Controls","WBS7_1_9_ups_qty","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"7.1.9 UPS cost ($)","8. System Controls","WBS7_1_9_ups_cost","877","877","877","877","877","877","0","0","877","877","877","877","877","877","877","877","","","","","","","","","","","","","","","",""
"7.2.1 Drive controllers (qty)","8. System Controls","WBS7_2_1_switches_qty","2","2","5","2","2","2","0","0","0","3","3","0","0","3","3","3","","","","","","","","","","","","","","","",""
"7.2.1 Drive controller cost ($)","8. System Controls","WBS7_2_1_switches_cost","2,602","2,602","6,504","2,602","2,602","2,602","0","0","0","3,903","3,903","0","0","3,903","3,903","3,903","","","","","","","","","","","","","","","",""
"7.2.2 Operator interface (qty)","8. System Controls","WBS7_2_2_op_interface_qty","2","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","",""
"7.2.2 Operator interface cost ($)","8. System Controls","WBS7_2_2_op_interface_cost","3,657","3,657","1,233","3,657","3,657","3,657","0","0","3,657","1,233","1,233","3,657","3,657","1,233","1,233","1,233","","","","","","","","","","","","","","","",""
"6+7. CONTROLS TOTAL ($)","8. System Controls","WBS67_total_cost","23,737","27,453","128,354","21,917","25,044","26,884","4,250","5,513","19,408","86,800","104,683","23,200","19,408","90,540","86,800","116,871","","","","","","","","","","","","","","","",""
"8. Chemical feed / GAC transfer ($)","9. Chemical Feed","WBS8_total_cost","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"9. Initial GAC fill (lbs)","10. Initial GAC","WBS9_gac_mass_fill_lb","6,927","41,755","474,076","2,598","15,471","83,607","1,385","8,350","2,598","27,874","270,532","13,937","3,464","70,173","27,874","362,359","","","","","","","","","","","","","","","",""
"9. Operating GAC mass (lbs)","10. Initial GAC","WBS9_gac_mass_om_lb","3,464","20,878","207,408","2,598","15,471","83,607","1,385","8,350","2,598","20,905","210,414","13,937","3,464","56,139","20,905","278,738","","","","","","","","","","","","","","","",""
"9. GAC unit cost ($/lb)","10. Initial GAC","WBS9_gac_unit_cost_per_lb","2.02","1.68","1.68","2.07","1.93","1.68","2.09","2.01","2.07","1.80","1.68","1.94","2.06","1.68","1.80","1.68","","","","","","","","","","","","","","","",""
"9. INITIAL GAC CHARGE ($)","10. Initial GAC","WBS9_initial_fill_cost","14,001","70,039","795,205","5,380","29,798","140,241","2,889","16,741","5,380","50,063","453,785","27,077","7,138","117,707","50,063","607,814","","","","","","","","","","","","","","","",""
"14. Building footprint (sf)","11. Buildings/Site","WBS14_building_fp_sf","240","530","8,110","190","340","170","40","100","190","2,260","7,350","320","190","3,390","2,260","8,810","","","","","","","","","","","","","","","",""
"14. Building cost ($)","11. Buildings/Site","WBS14_building_cost","12,671","27,386","412,013","10,134","17,745","9,119","2,522","5,567","10,134","115,170","373,449","16,730","10,134","172,509","115,170","447,532","","","","","","","","","","","","","","","",""
"14.5 Concrete pad cost ($)","11. Buildings/Site","WBS14_pad_cost","493","0","0","493","0","0","493","0","493","0","0","0","493","0","0","0","","","","","","","","","","","","","","","",""
"Site work cost ($)","11. Buildings/Site","WBS_sitework_cost","3,646","8,051","123,201","2,886","5,165","2,583","608","1,519","2,886","34,332","111,655","4,861","2,886","51,498","34,332","133,835","","","","","","","","","","","","","","","",""
